,steam_id_a,steam_id_b,lat_a,lon_a,country_a,lat_b,lon_b,country_b
7761,7.656119796140576e+16,7.656119797050491e+16,37.7749295,-122.4194155,US,42.37168810000001,-88.0900815,US
7881,7.656119796824898e+16,7.656119797059291e+16,-25.274398,133.775136,AU,52.132633,5.291265999999999,NL
7913,7.65611979684621e+16,7.656119797062854e+16,40.7127753,-74.0059728,US,31.9685988,-99.9018131,US
7957,7.656119796670203e+16,7.656119797063798e+16,35.4675602,-97.5164276,US,32.7766642,-96.79698789999999,US
8075,7.656119796740112e+16,7.656119797076504e+16,45.4215296,-75.69719309999999,CA,53.7190281,-2.0727839,GB
8159,7.656119796303064e+16,7.65611979708325e+16,36.778261,-119.4179324,US,54.0729431,9.9840158,DE
8189,7.656119796422798e+16,7.656119797081936e+16,35.7595731,-79.01929969999999,US,34.0522342,-118.2436849,US
8227,7.656119796862312e+16,7.65611979708855e+16,42.09868669999999,-75.91797380000001,US,32.6098566,-85.48078249999999,US
8473,7.656119796071022e+16,7.656119797108611e+16,25.0329636,121.5654268,TW,37.09024,-95.712891,US
8474,7.656119796547022e+16,7.656119797108611e+16,38.5449065,-121.7405167,US,37.09024,-95.712891,US
8475,7.656119796854738e+16,7.656119797108611e+16,39.0457549,-76.64127119999999,US,37.09024,-95.712891,US
8493,7.656119797103333e+16,7.656119797109019e+16,34.0522342,-118.2436849,US,43.0116784,-88.2314813,US
8512,7.656119796510798e+16,7.656119797115072e+16,32.7766642,-96.79698789999999,US,54.7937431,9.4469964,DE
8584,7.656119796068866e+16,7.656119797116728e+16,34.0522342,-118.2436849,US,34.0489281,-111.0937311,US
8585,7.656119796120613e+16,7.656119797116728e+16,47.6062095,-122.3320708,US,34.0489281,-111.0937311,US
8586,7.656119796172757e+16,7.656119797116728e+16,36.778261,-119.4179324,US,34.0489281,-111.0937311,US
8587,7.656119796808136e+16,7.656119797116728e+16,31.9685988,-99.9018131,US,34.0489281,-111.0937311,US
8609,7.656119796851096e+16,7.656119797125995e+16,34.0659329,-84.6768796,US,34.0659329,-84.6768796,US
8610,7.656119796735885e+16,7.656119797125968e+16,34.7303688,-86.5861037,US,37.09024,-95.712891,US
8652,7.656119796436974e+16,7.656119797125355e+16,47.7510741,-120.7401385,US,49.2827291,-123.1207375,CA
8653,7.656119797081654e+16,7.656119797125355e+16,52.0629009,-1.339775,GB,49.2827291,-123.1207375,CA
8722,7.656119796733544e+16,7.656119797135867e+16,46.9479739,7.4474468,CH,48.3705449,10.89779,DE
8789,7.656119796286954e+16,7.656119797143045e+16,51.535849,4.465321299999999,NL,50.503887,4.469936,BE
8838,7.656119796087445e+16,7.656119797146494e+16,36.204824,138.252924,JP,36.204824,138.252924,JP
8890,7.65611979652315e+16,7.656119797157557e+16,51.07443,4.72952,BE,52.52000659999999,13.404954,DE
8927,7.65611979677731e+16,7.656119797157166e+16,37.09024,-95.712891,US,32.1656221,-82.9000751,US
8962,7.656119797081206e+16,7.65611979716573e+16,42.3600825,-71.0588801,US,36.204824,138.252924,JP
8991,7.656119797100181e+16,7.656119797162618e+16,36.204824,138.252924,JP,34.3852894,132.4553055,JP
9008,7.65611979654214e+16,7.656119797168275e+16,31.9685988,-99.9018131,US,41.2033216,-77.1945247,US
9015,7.656119796028744e+16,7.65611979717498e+16,60.39126279999999,5.3220544,NO,48.51418,-2.765835,FR
9022,7.656119796673344e+16,7.65611979716856e+16,-23.5505199,-46.63330939999999,BR,-16.6868912,-49.2647943,BR
9078,7.65611979674933e+16,7.656119797179328e+16,-15.826691,-47.92182039999999,BR,-15.826691,-47.92182039999999,BR
9079,7.656119796769179e+16,7.656119797179328e+16,-22.9068467,-43.1728965,BR,-15.826691,-47.92182039999999,BR
9126,7.656119796036786e+16,7.6561197971881e+16,53.7190281,-2.0727839,GB,52.406822,-1.519693,GB
