,appid,total_playtime,appname,lat,lon,country
25295,223850,33,3DMark,25.790654,-80.1300455,US
25297,4000,1966,Garry's Mod,-35.675147,-71.542969,CL
25302,500,78,Left 4 Dead,-35.675147,-71.542969,CL
25307,550,3733,Left 4 Dead 2,-35.675147,-71.542969,CL
25338,730,24827,Counter-Strike: Global Offensive,-35.675147,-71.542969,CL
25454,227300,127,Euro Truck Simulator 2,-35.675147,-71.542969,CL
25458,218620,190,PAYDAY 2,-35.675147,-71.542969,CL
25472,252950,37283,Rocket League,-35.675147,-71.542969,CL
25519,304930,200,Unturned,-35.675147,-71.542969,CL
25522,730,9401,Counter-Strike: Global Offensive,53.709807,27.953389,BY
25581,57680,26,The First Templar,53.709807,27.953389,BY
25583,4000,1034,Garry's Mod,47.8016702,22.8575926,RO
25588,50130,673,Mafia II (Classic),47.8016702,22.8575926,RO
25611,730,268855,Counter-Strike: Global Offensive,47.8016702,22.8575926,RO
25756,244210,336,Assetto Corsa,47.8016702,22.8575926,RO
25761,222880,27,Insurgency,47.8016702,22.8575926,RO
25763,227300,3596,Euro Truck Simulator 2,47.8016702,22.8575926,RO
25772,550,80,Left 4 Dead 2,47.8016702,22.8575926,RO
25773,271590,34113,Grand Theft Auto V,47.8016702,22.8575926,RO
25804,307780,162,Mortal Kombat X,47.8016702,22.8575926,RO
25811,4000,484,Garry's Mod,56.130366,-106.346771,CA
25813,380,253,Half-Life 2: Episode One,56.130366,-106.346771,CA
25821,400,186,Portal,56.130366,-106.346771,CA
25828,420,406,Half-Life 2: Episode Two,56.130366,-106.346771,CA
25843,13210,143,Unreal Tournament 3: Black Edition,56.130366,-106.346771,CA
25844,500,161,Left 4 Dead,56.130366,-106.346771,CA
25865,3590,452,Plants vs. Zombies: Game of the Year,56.130366,-106.346771,CA
25868,12900,8,Audiosurf,56.130366,-106.346771,CA
25869,8980,2220,Borderlands GOTY,56.130366,-106.346771,CA
25887,41500,843,Torchlight,56.130366,-106.346771,CA
25904,32150,163,Everyday Genius: SquareLogic,56.130366,-106.346771,CA
25909,10180,467,Call of Duty: Modern Warfare 2,56.130366,-106.346771,CA
25930,550,15449,Left 4 Dead 2,56.130366,-106.346771,CA
25977,46000,24,Bob Came in Pieces,56.130366,-106.346771,CA
25983,20820,49,Shatter,56.130366,-106.346771,CA
25989,8190,43,Just Cause 2,56.130366,-106.346771,CA
25992,35140,237,Batman: Arkham Asylum GOTY Edition,56.130366,-106.346771,CA
25999,49600,41,Beat Hazard,56.130366,-106.346771,CA
26009,4920,1873,Natural Selection 2,56.130366,-106.346771,CA
26054,8930,15105,Sid Meier's Civilization V,56.130366,-106.346771,CA
26139,22380,1622,Fallout: New Vegas,56.130366,-106.346771,CA
26148,42700,611,Call of Duty: Black Ops,56.130366,-106.346771,CA
26169,42910,679,Magicka,56.130366,-106.346771,CA
26197,92800,2062,SpaceChem,56.130366,-106.346771,CA
26200,620,1818,Portal 2,56.130366,-106.346771,CA
26233,15520,28,AaAaAA!!! - A Reckless Disregard for Gravity,56.130366,-106.346771,CA
26234,26500,59,Cogs,56.130366,-106.346771,CA
